name_S24,islandmark_C,lat_R,lon_R,projectionlat_R,projectionlon_R,xang_R,yang_R,evalwidth_U,evalheight_U,useforbbr_C,useforffr_C,useforssr_C,useforglm_C,useforlr14_C,useforlr28_C,useforlr56_C,useforfd_C,useforconus_C,useformeso_C
000000_-75.0_BBR, ,66.4818,-113.2765,0,-75,-0.038941005,0.14405301,256,256, , , , , , , , , , 
000000_-137.0_BBR, ,66.4818,-175.2765,0,-137,-0.038941005,0.14405301,256,256, , , , , , , , , , 
000000_-89.5_BBR, ,66.4818,-127.7765,0,-89.5,-0.038941005,0.14405301,256,256, , , , , , , , , , 
000000_140.7_BBR, ,66.4818,102.4235,0,140.7,-0.038941005,0.14405301,256,256, , , , , , , , , , 
000001_-75.0_BBR, ,64.9725,-98.5401,0,-75,-0.026943005,0.14405301,256,256, , , , , , , , , , 
000001_-137.0_BBR, ,64.9725,-160.5401,0,-137,-0.026943005,0.14405301,256,256, , , , , , , , , , 
000001_-89.5_BBR, ,64.9725,-113.0401,0,-89.5,-0.026943005,0.14405301,256,256, , , , , , , , , , 
000001_140.7_BBR, ,64.9725,117.1599,0,140.7,-0.026943005,0.14405301,256,256, , , , , , , , , , 
000002_-75.0_BBR, ,64.2707,-87.3923,0,-75,-0.014945005,0.14405301,256,256, , , , , , , , , , 
000002_-137.0_BBR, ,64.2707,-149.3923,0,-137,-0.014945005,0.14405301,256,256, , , , , , , , , , 
000002_-89.5_BBR, ,64.2707,-101.8923,0,-89.5,-0.014945005,0.14405301,256,256, , , , , , , , , , 
000002_140.7_BBR, ,64.2707,128.3077,0,140.7,-0.014945005,0.14405301,256,256, , , , , , , , , , 
000003_-75.0_BBR, ,64.0058,-77.3968,0,-75,-0.002947006,0.14405301,256,256, , , , , , , , , , 
000003_-137.0_BBR, ,64.0058,-139.3968,0,-137,-0.002947006,0.14405301,256,256, , , , , , , , , , 
000003_-89.5_BBR, ,64.0058,-91.8968,0,-89.5,-0.002947006,0.14405301,256,256, , , , , , , , , , 
000003_140.7_BBR, ,64.0058,138.3032,0,140.7,-0.002947006,0.14405301,256,256, , , , , , , , , , 
000004_-75.0_BBR, ,64.0942,-67.5914,0,-75,0.009050995,0.14405301,256,256, , , , , , , , , , 
000004_-137.0_BBR, ,64.0942,-129.5914,0,-137,0.009050995,0.14405301,256,256, , , , , , , , , , 
000004_-89.5_BBR, ,64.0942,-82.0914,0,-89.5,0.009050995,0.14405301,256,256, , , , , , , , , , 
000004_140.7_BBR, ,64.0942,148.1086,0,140.7,0.009050995,0.14405301,256,256, , , , , , , , , , 
000005_-75.0_BBR, ,64.5617,-57.167,0,-75,0.021048995,0.14405301,256,256, , , , , , , , , , 
000005_-137.0_BBR, ,64.5617,-119.167,0,-137,0.021048995,0.14405301,256,256, , , , , , , , , , 
000005_-89.5_BBR, ,64.5617,-71.667,0,-89.5,0.021048995,0.14405301,256,256, , , , , , , , , , 
000005_140.7_BBR, ,64.5617,158.533,0,140.7,0.021048995,0.14405301,256,256, , , , , , , , , , 
000006_-75.0_BBR, ,65.5859,-44.7391,0,-75,0.033046995,0.14405301,256,256, , , , , , , , , , 
000006_-137.0_BBR, ,65.5859,-106.7391,0,-137,0.033046995,0.14405301,256,256, , , , , , , , , , 
000006_-89.5_BBR, ,65.5859,-59.2391,0,-89.5,0.033046995,0.14405301,256,256, , , , , , , , , , 
000006_140.7_BBR, ,65.5859,170.9609,0,140.7,0.033046995,0.14405301,256,256, , , , , , , , , , 
000007_-75.0_BBR, ,56.5103,-124.548,0,-75,-0.066633005,0.13204101,256,256, , , , , , , , , , 
000007_-137.0_BBR, ,56.5103,173.452,0,-137,-0.066633005,0.13204101,256,256, , , , , , , , , , 
000007_-89.5_BBR, ,56.5103,-139.048,0,-89.5,-0.066633005,0.13204101,256,256, , , , , , , , , , 
000007_140.7_BBR, ,56.5103,91.152,0,140.7,-0.066633005,0.13204101,256,256, , , , , , , , , , 
000008_-75.0_BBR, ,55.1116,-111.279,0,-75,-0.054635005,0.13204101,256,256, , , , , , , , , , 
000008_-137.0_BBR, ,55.1116,-173.279,0,-137,-0.054635005,0.13204101,256,256, , , , , , , , , , 
000008_-89.5_BBR, ,55.1116,-125.779,0,-89.5,-0.054635005,0.13204101,256,256, , , , , , , , , , 
000008_140.7_BBR, ,55.1116,104.4209,0,140.7,-0.054635005,0.13204101,256,256, , , , , , , , , , 
000009_-75.0_BBR, ,54.3149,-101.6271,0,-75,-0.042637005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000009_-137.0_BBR, ,54.3149,-163.6271,0,-137,-0.042637005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000009_-89.5_BBR, ,54.3149,-116.1271,0,-89.5,-0.042637005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000009_140.7_BBR, ,54.3149,114.0729,0,140.7,-0.042637005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000010_-75.0_BBR, ,53.8121,-93.4259,0,-75,-0.030639005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000010_-137.0_BBR, ,53.8121,-155.4259,0,-137,-0.030639005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000010_-89.5_BBR, ,53.8121,-107.9259,0,-89.5,-0.030639005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000010_140.7_BBR, ,53.8121,122.2741,0,140.7,-0.030639005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
000011_-75.0_BBR, ,53.507,-85.9606,0,-75,-0.018641005,0.13204101,256,256,1, ,1, ,1,1,1,1,1,1
